SOR OMEGA test,,,,,,,,,,
Array size = 64 x 64,,,,,,,,,,
0.5200 4939.9,, 4939.9,4939.9,0.5200 ,0.5200,,,,,
0.5300 5767.9,, 5767.9,5767.9,0.5300 ,0.5300,,,,,
0.5400 5634.6,, 5634.6,5634.6,0.5400 ,0.5400,,,,,
0.5500 4805.9,, 4805.9,4805.9,0.5500 ,0.5500,,,,,
0.5600 4785.4,, 4785.4,4785.4,0.5600 ,0.5600,,,,,
0.5700 4862.7,, 4862.7,4862.7,0.5700 ,0.5700,,,,,
0.5800 5067.6,, 5067.6,5067.6,0.5800 ,0.5800,,,,,
0.5900 5140.4,, 5140.4,5140.4,0.5900 ,0.5900,,,,,
0.6000 5112.0,, 5112.0,5112,0.6000 ,0.6000,,,,,
0.6100 4413.9,, 4413.9,4413.9,0.6100 ,0.6100,,,,,
0.6200 4505.8,, 4505.8,4505.8,0.6200 ,0.6200,,,,,
0.6300 4633.2,, 4633.2,4633.2,0.6300 ,0.6300,,,,,
0.6400 4500.6,, 4500.6,4500.6,0.6400 ,0.6400,,,,,
0.6500 3942.3,, 3942.3,3942.3,0.6500 ,0.6500,,,,,
0.6600 4038.8,, 4038.8,4038.8,0.6600 ,0.6600,,,,,
0.6700 3490.6,, 3490.6,3490.6,0.6700 ,0.6700,,,,,
0.6800 4042.0,, 4042.0,4042,0.6800 ,0.6800,,,,,
0.6900 4049.7,, 4049.7,4049.7,0.6900 ,0.6900,,,,,
0.7000 4064.5,, 4064.5,4064.5,0.7000 ,0.7000,,,,,
0.7100 3208.2,, 3208.2,3208.2,0.7100 ,0.7100,,,,,
0.7200 3497.9,, 3497.9,3497.9,0.7200 ,0.7200,,,,,
0.7300 3396.6,, 3396.6,3396.6,0.7300 ,0.7300,,,,,
0.7400 3488.3,, 3488.3,3488.3,0.7400 ,0.7400,,,,,
0.7500 3218.6,, 3218.6,3218.6,0.7500 ,0.7500,,,,,
0.7600 3025.9,, 3025.9,3025.9,0.7600 ,0.7600,,,,,
0.7700 3026.8,, 3026.8,3026.8,0.7700 ,0.7700,,,,,
0.7800 2917.8,, 2917.8,2917.8,0.7800 ,0.7800,,,,,
0.7900 3139.1,, 3139.1,3139.1,0.7900 ,0.7900,,,,,
0.8000 2906.5,, 2906.5,2906.5,0.8000 ,0.8000,,,,,
0.8100 3035.9,, 3035.9,3035.9,0.8100 ,0.8100,,,,,
0.8200 2915.0,, 2915.0,2915,0.8200 ,0.8200,,,,,
0.8300 2694.9,, 2694.9,2694.9,0.8300 ,0.8300,,,,,
0.8400 3123.2,, 3123.2,3123.2,0.8400 ,0.8400,,,,,
0.8500 2699.0,, 2699.0,2699,0.8500 ,0.8500,,,,,
0.8600 2568.0,, 2568.0,2568,0.8600 ,0.8600,,,,,
0.8700 2610.7,, 2610.7,2610.7,0.8700 ,0.8700,,,,,
0.8800 2725.4,, 2725.4,2725.4,0.8800 ,0.8800,,,,,
0.8900 2712.7,, 2712.7,2712.7,0.8900 ,0.8900,,,,,
0.9000 2336.1,, 2336.1,2336.1,0.9000 ,0.9000,,,,,
0.9100 2570.2,, 2570.2,2570.2,0.9100 ,0.9100,,,,,
0.9200 2378.7,, 2378.7,2378.7,0.9200 ,0.9200,,,,,
0.9300 2282.2,, 2282.2,2282.2,0.9300 ,0.9300,,,,,
0.9400 2296.0,, 2296.0,2296,0.9400 ,0.9400,,,,,
0.9500 2190.8,, 2190.8,2190.8,0.9500 ,0.9500,,,,,
0.9600 2126.3,, 2126.3,2126.3,0.9600 ,0.9600,,,,,
0.9700 2079.9,, 2079.9,2079.9,0.9700 ,0.9700,,,,,
0.9800 2100.6,, 2100.6,2100.6,0.9800 ,0.9800,,,,,
0.9900 2204.1,, 2204.1,2204.1,0.9900 ,0.9900,,,,,
1.0000 2134.8,, 2134.8,2134.8,1.0000 ,1.0000,,,,,
1.0100 2359.5,, 2359.5,2359.5,1.0100 ,1.0100,,,,,
1.0200 1936.9,, 1936.9,1936.9,1.0200 ,1.0200,,,,,
1.0300 1787.7,, 1787.7,1787.7,1.0300 ,1.0300,,,,,
1.0400 1984.7,, 1984.7,1984.7,1.0400 ,1.0400,,,,,
1.0500 1827.6,, 1827.6,1827.6,1.0500 ,1.0500,,,,,
1.0600 1863.5,, 1863.5,1863.5,1.0600 ,1.0600,,,,,
1.0700 1858.7,, 1858.7,1858.7,1.0700 ,1.0700,,,,,
1.0800 1612.1,, 1612.1,1612.1,1.0800 ,1.0800,,,,,
1.0900 1845.0,, 1845.0,1845,1.0900 ,1.0900,,,,,
1.1000 1676.0,, 1676.0,1676,1.1000 ,1.1000,,,,,
1.1100 1702.7,, 1702.7,1702.7,1.1100 ,1.1100,,,,,
1.1200 1476.9,, 1476.9,1476.9,1.1200 ,1.1200,,,,,
1.1300 1605.9,, 1605.9,1605.9,1.1300 ,1.1300,,,,,
1.1400 1650.7,, 1650.7,1650.7,1.1400 ,1.1400,,,,,
1.1500 1587.7,, 1587.7,1587.7,1.1500 ,1.1500,,,,,
1.1600 1570.1,, 1570.1,1570.1,1.1600 ,1.1600,,,,,
1.1700 1568.5,, 1568.5,1568.5,1.1700 ,1.1700,,,,,
1.1800 1596.5,, 1596.5,1596.5,1.1800 ,1.1800,,,,,
1.1900 1597.4,, 1597.4,1597.4,1.1900 ,1.1900,,,,,
1.2000 1357.7,, 1357.7,1357.7,1.2000 ,1.2000,,,,,
1.2100 1521.3,, 1521.3,1521.3,1.2100 ,1.2100,,,,,
1.2200 1259.5,, 1259.5,1259.5,1.2200 ,1.2200,,,,,
1.2300 1262.3,, 1262.3,1262.3,1.2300 ,1.2300,,,,,
1.2400 1498.3,, 1498.3,1498.3,1.2400 ,1.2400,,,,,
1.2500 1461.3,, 1461.3,1461.3,1.2500 ,1.2500,,,,,
1.2600 1231.2,, 1231.2,1231.2,1.2600 ,1.2600,,,,,
1.2700 1206.4,, 1206.4,1206.4,1.2700 ,1.2700,,,,,
1.2800 1243.2,, 1243.2,1243.2,1.2800 ,1.2800,,,,,
1.2900 1252.4,, 1252.4,1252.4,1.2900 ,1.2900,,,,,
1.3000 1185.7,, 1185.7,1185.7,1.3000 ,1.3000,,,,,
1.3100 1186.4,, 1186.4,1186.4,1.3100 ,1.3100,,,,,
1.3200 1160.3,, 1160.3,1160.3,1.3200 ,1.3200,,,,,
1.3300 1051.8,, 1051.8,1051.8,1.3300 ,1.3300,,,,,
1.3400 1079.7,, 1079.7,1079.7,1.3400 ,1.3400,,,,,
1.3500 996.5,,0 996.5,996.5,1.3500 ,1.3500,,,,,
1.3600 1093.4,, 1093.4,1093.4,1.3600 ,1.3600,,,,,
1.3700 1023.9,, 1023.9,1023.9,1.3700 ,1.3700,,,,,
1.3800 1071.2,, 1071.2,1071.2,1.3800 ,1.3800,,,,,
1.3900 1004.7,, 1004.7,1004.7,1.3900 ,1.3900,,,,,
1.4000 933.1,,0 933.1,933.1,1.4000 ,1.4000,,,,,
1.4100 1020.1,, 1020.1,1020.1,1.4100 ,1.4100,,,,,
1.4200 972.2,,0 972.2,972.2,1.4200 ,1.4200,,,,,
1.4300 958.5,,0 958.5,958.5,1.4300 ,1.4300,,,,,
1.4400 877.4,,0 877.4,877.4,1.4400 ,1.4400,,,,,
1.4500 832.9,,0 832.9,832.9,1.4500 ,1.4500,,,,,
1.4600 866.1,,0 866.1,866.1,1.4600 ,1.4600,,,,,
1.4700 822.7,,0 822.7,822.7,1.4700 ,1.4700,,,,,
1.4800 869.6,,0 869.6,869.6,1.4800 ,1.4800,,,,,
1.4900 884.3,,0 884.3,884.3,1.4900 ,1.4900,,,,,
1.5000 843.1,,0 843.1,843.1,1.5000 ,1.5000,,,,,
1.5100 763.4,,0 763.4,763.4,1.5100 ,1.5100,,,,,
1.5200 805.4,,0 805.4,805.4,1.5200 ,1.5200,,,,,
1.5300 748.3,,0 748.3,748.3,1.5300 ,1.5300,,,,,
1.5400 711.2,,0 711.2,711.2,1.5400 ,1.5400,,,,,
1.5500 749.0,,0 749.0,749,1.5500 ,1.5500,,,,,
1.5600 760.2,,0 760.2,760.2,1.5600 ,1.5600,,,,,
1.5700 678.2,,0 678.2,678.2,1.5700 ,1.5700,,,,,
1.5800 616.3,,0 616.3,616.3,1.5800 ,1.5800,,,,,
1.5900 662.9,,0 662.9,662.9,1.5900 ,1.5900,,,,,
1.6000 579.5,,0 579.5,579.5,1.6000 ,1.6000,,,,,
1.6100 598.0,,0 598.0,598,1.6100 ,1.6100,,,,,
1.6200 606.0,,0 606.0,606,1.6200 ,1.6200,,,,,
1.6300 586.6,,0 586.6,586.6,1.6300 ,1.6300,,,,,
1.6400 591.4,,0 591.4,591.4,1.6400 ,1.6400,,,,,
1.6500 561.6,,0 561.6,561.6,1.6500 ,1.6500,,,,,
1.6600 559.9,,0 559.9,559.9,1.6600 ,1.6600,,,,,
1.6700 523.8,,0 523.8,523.8,1.6700 ,1.6700,,,,,
1.6800 467.4,,0 467.4,467.4,1.6800 ,1.6800,,,,,
1.6900 458.9,,0 458.9,458.9,1.6900 ,1.6900,,,,,
1.7000 457.3,,0 457.3,457.3,1.7000 ,1.7000,,,,,
1.7100 431.8,,0 431.8,431.8,1.7100 ,1.7100,,,,,
1.7200 431.3,,0 431.3,431.3,1.7200 ,1.7200,,,,,
1.7300 390.2,,0 390.2,390.2,1.7300 ,1.7300,,,,,
1.7400 406.0,,0 406.0,406,1.7400 ,1.7400,,,,,
1.7500 375.9,,0 375.9,375.9,1.7500 ,1.7500,,,,,
1.7600 357.7,,0 357.7,357.7,1.7600 ,1.7600,,,,,
1.7700 372.0,,0 372.0,372,1.7700 ,1.7700,,,,,
1.7800 337.8,,0 337.8,337.8,1.7800 ,1.7800,,,,,
1.7900 303.5,,0 303.5,303.5,1.7900 ,1.7900,,,,,
1.8000 283.0,,0 283.0,283,1.8000 ,1.8000,,,,,
1.8100 301.9,,0 301.9,301.9,1.8100 ,1.8100,,,,,
1.8200 257.5,,0 257.5,257.5,1.8200 ,1.8200,,,,,
1.8300 246.5,,0 246.5,246.5,1.8300 ,1.8300,,,,,
1.8400 236.8,,0 236.8,236.8,1.8400 ,1.8400,,,,,
1.8500 213.1,,0 213.1,213.1,1.8500 ,1.8500,,,,,
1.8600 194.4,,0 194.4,194.4,1.8600 ,1.8600,,,,,
1.8700 199.5,,0 199.5,199.5,1.8700 ,1.8700,,,,,
1.8800 175.9,,0 175.9,175.9,1.8800 ,1.8800,,,,,
1.8900 163.4,,0 163.4,163.4,1.8900 ,1.8900,,,,,
1.9000 159.6,,0 159.6,159.6,1.9000 ,1.9000,,,,,
1.9100 174.1,,0 174.1,174.1,1.9100 ,1.9100,,,,,
1.9200 194.2,,0 194.2,194.2,1.9200 ,1.9200,,,,,
1.9300 219.6,,0 219.6,219.6,1.9300 ,1.9300,,,,,
1.9400 252.0,,0 252.0,252,1.9400 ,1.9400,,,,,
1.9500 297.3,,0 297.3,297.3,1.9500 ,1.9500,,,,,
1.9600 369.1,,0 369.1,369.1,1.9600 ,1.9600,,,,,
1.9700 487.8,,0 487.8,487.8,1.9700 ,1.9700,,,,,
1.9800 729.0,,0 729.0,729,1.9800 ,1.9800,,,,,
1.9900 1455.7,, 1455.7,1455.7,1.9900 ,1.9900,,,,,
